sensor_id,sensor_type,location,lat,lon,altitude,date,PM10,PM2.5
87406,PMS5003,78332,50.92738493,0.23780733,,2025-12-19,1.0,1.0
88102,PMS5003,79225,43.09823125,-89.34557269,,2025-12-19,1.0,1.0
88103,PMS5003,79226,43.09823125,-89.34557269,,2025-12-19,1.0,1.0
88710,PMS5003,79971,48.80681461,-79.20476142,,2025-12-19,1.0,1.0
89403,PMS5003,81039,49.89694734,73.21129203,,2025-12-19,1.0,1.0
89748,PMS5003,81422,49.8151337,73.1045267,,2025-12-19,1.0,1.0
90384,PMS5003,82276,51.066,16.98,,2025-12-19,2.0,2.0
90521,PMS5003,87782,52.516,4.706,,2025-12-19,1.0,1.0
90961,PMS5003,83182,52.25925761,20.58834404,,2025-12-19,3.0,5.0
92659,PMS5003,84817,51.946,21.002,,2025-12-19,3.0,4.0
93038,PMS5003,85339,51.996,21.052,,2025-12-19,3.0,3.0
93254,PMS5003,85577,42.04,-91.688,,2025-12-19,1.0,1.0
93435,PMS5003,85855,52.06975829,4.35283631,,2025-12-19,1.0,1.0
93551,PMS5003,86012,58.992,24.83,,2025-12-19,2.0,2.0
93571,PMS5003,86036,49.85318929,73.18899751,,2025-12-19,1.0,1.0
93842,PMS5003,86311,43.614,5.064,,2025-12-19,1.0,1.0
94978,PMS5003,87217,53.87865544,-1.45779133,,2025-12-19,1.0,1.0
95638,PMS5003,88855,-27.6354622,152.8601192,,2025-12-19,1.0,1.0
95841,PMS5003,88030,45.13942748,-93.27459097,,2025-12-19,1.0,1.0
95980,PMS5003,88227,54.59,-5.926,,2025-12-19,1.0,1.0
96277,PMS5003,88653,44.5668555,6.50072515,,2025-12-19,2.0,2.0
96703,PMS5003,89372,50.768,6.08,,2025-12-19,1.0,1.0
96769,PMS5003,89344,38.61,-89.648,,2025-12-19,1.0,1.0
46591,PMS6003,32314,48.748,9.656,,2025-12-19,3.0,3.0
89176,PMS6003,80681,48.38360046,2.90006928,,2025-12-19,1.0,1.0
12246,PMS7003,6186,52.022,4.692,,2025-12-19,1.0,1.0
14880,PMS7003,7533,51.278,12.588,,2025-12-19,1.0,1.0
19975,PMS7003,10149,37.406886,-122.100016,,2025-12-19,1.0,1.0
21358,PMS7003,13506,50.852,20.632,,2025-12-19,5.0,6.0
23240,PMS7003,11789,53.482,9.862,,2025-12-19,1.0,1.0
24777,PMS7003,12873,52.438,16.588,,2025-12-19,2.0,2.0
25179,PMS7003,14460,50.22394435,19.07209285,,2025-12-19,1.0,1.0
30713,PMS7003,17465,47.934,33.43,,2025-12-19,6.0,7.0
31870,PMS7003,18433,52.198306,-2.199972,,2025-12-19,1.0,1.0
32002,PMS7003,18527,47.45238942,19.56725121,,2025-12-19,10.0,10.0
32219,PMS7003,65198,52.519944,16.723263,,2025-12-19,2.0,2.0
33948,PMS7003,20229,49.856,19.03,,2025-12-19,4.0,5.0
34176,PMS7003,20450,49.074,9.158,,2025-12-19,1.0,1.0
34724,PMS7003,74416,50.25489597,19.01462495,,2025-12-19,2.0,3.0
35090,PMS7003,21273,52.350273,17.519367,,2025-12-19,4.0,5.0
35554,PMS7003,22253,51.6395808,5.8888755,,2025-12-19,1.0,1.0
36877,PMS7003,38580,52.16223,21.22831,,2025-12-19,3.0,4.0
36894,PMS7003,22824,52.31573767,21.13828808,,2025-12-19,1.0,1.0
37022,PMS7003,55975,51.32784263,19.37370032,,2025-12-19,4.0,5.0
38334,PMS7003,24132,52.1375,20.8097,,2025-12-19,2.0,2.0
41895,PMS7003,27574,16.456603,102.87883,,2025-12-19,2.0,2.0
42002,PMS7003,82131,50.506,30.832,,2025-12-19,3.0,3.0
43688,PMS7003,29292,53.246,13.206,,2025-12-19,1.0,1.0
44045,PMS7003,29709,52.396,16.796,,2025-12-19,1.0,1.0
44871,PMS7003,30602,51.06,17.226,,2025-12-19,3.0,4.0
45312,PMS7003,68267,51.54,5.854,,2025-12-19,1.0,1.0
46044,PMS7003,31781,54.094,13.428,,2025-12-19,1.0,1.0
46046,PMS7003,31782,50.3148318,11.20698428,,2025-12-19,2.0,2.0
47613,PMS7003,33332,51.638757,5.892068,,2025-12-19,1.0,1.0
48173,PMS7003,81363,51.63514848,5.90572536,,2025-12-19,1.0,1.0
48566,PMS7003,34347,46.01339363,6.62407991,,2025-12-19,2.0,2.0
48758,PMS7003,34554,51.60474072,5.8702053,,2025-12-19,1.0,1.0
50034,PMS7003,35916,55.8833993,37.52318949,,2025-12-19,1.0,1.0
50041,PMS7003,44598,51.606,5.912,,2025-12-19,1.0,1.0
50587,PMS7003,82130,50.512,30.812,,2025-12-19,3.0,4.0
50589,PMS7003,82132,50.516,30.838,,2025-12-19,2.0,3.0
51218,PMS7003,37291,46.752,23.62,,2025-12-19,2.0,2.0
53698,PMS7003,68408,53.952,27.612,,2025-12-19,2.0,2.0
54305,PMS7003,66145,45.188,5.712,,2025-12-19,1.0,1.0
55076,PMS7003,40971,44.702,11.03,,2025-12-19,4.0,5.0
55204,PMS7003,41078,45.836,20.478,,2025-12-19,10.0,10.0
55304,PMS7003,65692,51.378,19.824,,2025-12-19,8.0,9.0
55549,PMS7003,41397,49.972,18.944,,2025-12-19,5.0,6.0
56360,PMS7003,42611,51.132,13.588,,2025-12-19,2.0,3.0
56740,PMS7003,42620,52.26596175,21.04044646,,2025-12-19,1.0,1.0
56852,PMS7003,42737,52.42274868,16.91513389,,2025-12-19,4.0,5.0
57273,PMS7003,43121,52.26440018,20.64309537,,2025-12-19,3.0,3.0
57623,PMS7003,43448,52.264,20.644,,2025-12-19,1.0,2.0
57798,PMS7003,43626,53.866,30.298,,2025-12-19,2.0,2.0
59179,PMS7003,44956,52.422,20.818,,2025-12-19,5.0,6.0
59948,PMS7003,45807,48.835464,2.2908839,,2025-12-19,1.0,1.0
59962,PMS7003,45821,48.8362384,2.3853936,,2025-12-19,1.0,1.0
60249,PMS7003,73442,48.6913092,2.128078,,2025-12-19,1.0,1.0
60251,PMS7003,46111,48.8701152,2.3455554,,2025-12-19,1.0,1.0
60453,PMS7003,46305,50.38447318,19.13635573,,2025-12-19,7.0,9.0
61129,PMS7003,47016,51.6234,5.85521,,2025-12-19,1.0,1.0
61796,PMS7003,47712,48.831907,2.3695293,,2025-12-19,1.0,1.0
61804,PMS7003,47725,47.912,7.356,,2025-12-19,2.0,2.0
62311,PMS7003,69938,48.9262146,2.2493111,,2025-12-19,1.0,1.0
62499,PMS7003,48540,48.8856722,2.393264,,2025-12-19,1.0,1.0
62521,PMS7003,48574,48.83636948,2.30575025,,2025-12-19,1.0,1.0
62528,PMS7003,48710,48.91831,2.343501,,2025-12-19,2.0,2.0
62568,PMS7003,48621,48.918761,2.340084,,2025-12-19,2.0,2.0
62599,PMS7003,48671,48.922,2.346,,2025-12-19,2.0,2.0
62614,PMS7003,52676,39.53241242,-8.92872512,,2025-12-19,1.0,1.0
63184,PMS7003,49278,39.22472432,-8.99705708,,2025-12-19,1.0,1.0
63318,PMS7003,49447,44.3528905,-0.93934,,2025-12-19,1.0,1.0
63424,PMS7003,49560,48.9144425,2.3060637,,2025-12-19,1.0,1.0
63521,PMS7003,49671,48.8531192,2.6679338,,2025-12-19,1.0,1.0
63569,PMS7003,49719,48.8711301,2.6864639,,2025-12-19,1.0,2.0
63918,PMS7003,50097,48.8538187,2.6675048,,2025-12-19,1.0,1.0
65011,PMS7003,51567,50.93829235,6.85888736,,2025-12-19,1.0,1.0
66004,PMS7003,52775,52.262,21.1,,2025-12-19,6.0,7.0
66124,PMS7003,53071,44.7615129,20.48529955,,2025-12-19,7.0,10.0
66195,PMS7003,75911,45.168,5.736,,2025-12-19,1.0,1.0
67207,PMS7003,60283,48.68726488,2.39165056,,2025-12-19,1.0,1.0
67261,PMS7003,54173,44.03513368,20.4708209,,2025-12-19,10.0,10.0
67714,PMS7003,75445,44.02268151,20.4581067,,2025-12-19,10.0,10.0
67892,PMS7003,80879,52.38,16.826,,2025-12-19,3.0,4.0
68198,PMS7003,55021,51.554,17.044,,2025-12-19,4.0,5.0
68308,PMS7003,55155,51.10455468,17.0868811,,2025-12-19,3.0,3.0
68341,PMS7003,55668,52.31,21.066,,2025-12-19,2.0,2.0
68694,PMS7003,55678,48.847124,2.4758389,,2025-12-19,2.0,2.0
68713,PMS7003,55690,51.566,19.198,,2025-12-19,2.0,2.0
68970,PMS7003,81607,51.0630687,17.0609091,,2025-12-19,2.0,2.0
69396,PMS7003,58327,50.2313148,18.9490369,,2025-12-19,3.0,3.0
71794,PMS7003,59641,45.188,5.712,,2025-12-19,1.0,2.0
72460,PMS7003,60465,48.887231,2.3540062,,2025-12-19,1.0,1.0
72854,PMS7003,60991,51.278,22.55,,2025-12-19,5.0,6.0
72918,PMS7003,68407,55.694,26.994,,2025-12-19,1.0,1.0
73957,PMS7003,62312,48.9187844,2.342475,,2025-12-19,1.0,2.0
74365,PMS7003,62799,48.7249687,-3.5643943,,2025-12-19,1.0,1.0
74426,PMS7003,62859,53.906,27.43,,2025-12-19,1.0,1.0
